Date,Open,High,Low,Close,Adj Close,compound,neg,neu,pos
12/1/2006,29.23,29.3,28.9,29.12,29.12,0,0,0,0
12/4/2006,29.23,29.52,29.17,29.33,29.33,-0.7783,0.137,0.863,0
12/5/2006,29.36,29.4,29.03,29.13,29.13,0,0,0,0
12/6/2006,29.1,29.13,28.87,28.99,28.99,0.9003,0.051,0.847,0.102
12/7/2006,28.96,29.07,28.81,28.85,28.85,0.6597,0,0.81,0.19
12/8/2006,28.82,29.4,28.8,29.4,29.4,0,0,0,0
12/11/2006,29.19,29.75,29.11,29.54,29.54,0,0,0,0
12/12/2006,29.56,29.63,29.22,29.43,29.43,0,0,1,0
12/13/2006,29.6,29.6,29.32,29.55,29.55,0.5574,0,0.833,0.167
12/14/2006,29.54,30.08,29.52,30.07,30.07,0,0,0,0
12/15/2006,30.14,30.23,30.03,30.19,30.19,0.126,0.048,0.868,0.084
12/18/2006,30.19,30.26,29.78,29.89,29.89,0,0,0,0
12/19/2006,29.71,30.17,29.53,29.99,29.99,0.0772,0.071,0.85,0.079
12/20/2006,29.99,30.24,29.97,30.09,30.09,0.5095,0.121,0.718,0.161
12/21/2006,30.13,30.14,29.89,29.98,29.98,0,0,0,0
12/22/2006,29.83,29.86,29.62,29.64,29.64,0,0,0,0
12/26/2006,29.53,30,29.4,29.99,29.99,0.0695,0.039,0.897,0.064
12/27/2006,29.99,30.13,29.91,30.02,30.02,0,0,0,0
12/28/2006,29.86,30.03,29.81,29.98,29.98,0.1482,0.119,0.73,0.151
12/29/2006,29.86,30.15,29.83,29.86,29.86,0,0,0,0
1/3/2007,29.91,30.25,29.4,29.86,29.86,0,0,0,0
1/4/2007,29.7,29.97,29.44,29.81,29.81,0.7767,0.06,0.847,0.094
1/5/2007,29.63,29.75,29.45,29.64,29.64,0,0,0,0
1/8/2007,29.65,30.1,29.53,29.93,29.93,0.6633,0.025,0.916,0.058
1/9/2007,30,30.18,29.73,29.96,29.96,-0.6597,0.057,0.943,0
1/10/2007,29.8,29.89,29.43,29.66,29.66,0,0,0,0
1/11/2007,29.76,30.75,29.65,30.7,30.7,0.5334,0.012,0.956,0.031
1/12/2007,30.65,31.39,30.64,31.21,31.21,0.6597,0.029,0.859,0.113
1/16/2007,31.26,31.45,31.03,31.16,31.16,0,0,0,0
1/17/2007,31.26,31.44,31.01,31.1,31.1,-0.4767,0.023,0.977,0
1/18/2007,31.15,31.37,30.8,31,31,0.8271,0.015,0.868,0.117
1/19/2007,30.73,31.11,30.69,31.11,31.11,0,0,0,0
1/22/2007,31.06,31.12,30.51,30.72,30.72,0.9595,0.031,0.824,0.145
1/23/2007,30.63,30.96,30.52,30.74,30.74,0.4019,0.031,0.884,0.084
1/24/2007,30.78,31.3,30.65,31.09,31.09,0,0,0,0
1/25/2007,31.08,31.48,30.45,30.45,30.45,0.6494,0,0.954,0.046
1/26/2007,31.22,31.23,30.6,30.6,30.6,0,0,0,0
1/29/2007,30.65,30.78,30.34,30.53,30.53,0.8442,0.029,0.841,0.13
1/30/2007,30.57,30.64,30.14,30.48,30.48,0.6705,0.058,0.866,0.076
1/31/2007,30.41,31.1,30.35,30.86,30.86,0,0,0,0
2/1/2007,30.84,30.94,30.37,30.56,30.56,0.9861,0.031,0.792,0.177
2/2/2007,30.82,30.84,30.13,30.19,30.19,0,0,0,0
2/5/2007,29.97,30.02,29.41,29.61,29.61,-0.9035,0.137,0.809,0.054
2/6/2007,29.59,29.75,29.22,29.51,29.51,-0.4019,0.098,0.841,0.061
2/7/2007,29.64,29.7,29.25,29.37,29.37,0,0,0,0
2/8/2007,29.24,29.8,29.2,29.26,29.26,0.8625,0.025,0.837,0.138
2/9/2007,29.35,29.4,28.93,28.98,28.98,0,0,0,0
2/12/2007,28.89,29.09,28.83,28.94,28.94,0,0,0,0
2/13/2007,29.04,29.2,28.96,29.01,29.01,0,0,0,0
2/14/2007,29.17,29.69,29.15,29.4,29.4,0,0,0,0
2/15/2007,29.58,29.65,29.22,29.46,29.46,-0.6833,0.213,0.695,0.093
2/16/2007,28.91,28.94,28.65,28.74,28.74,0,0,0,0
2/20/2007,28.63,28.86,28.47,28.83,28.83,0.1655,0.117,0.685,0.198
2/21/2007,28.75,29.39,28.74,29.35,29.35,0.5859,0,0.821,0.179
2/22/2007,29.31,29.54,29.16,29.39,29.39,0,0,0,0
2/23/2007,29.22,29.28,28.89,28.9,28.9,0.7096,0.093,0.795,0.112
2/26/2007,28.96,29.09,28.82,29.07,29.07,0,0,1,0
2/27/2007,28.71,28.97,27.79,27.87,27.87,0,0,0,0
2/28/2007,27.95,28.25,27.92,28.17,28.17,-0.6908,0.251,0.749,0
3/1/2007,27.82,28.33,27.73,28.09,28.09,0,0,0,0
3/2/2007,28.02,28.16,27.76,27.76,27.76,0.25,0.058,0.87,0.071
3/5/2007,27.49,27.91,27.41,27.55,27.55,0.9265,0.023,0.842,0.135
3/6/2007,27.8,27.94,27.65,27.83,27.83,0,0,0,0
3/7/2007,27.76,27.9,27.55,27.61,27.61,0.8658,0,0.879,0.121
3/8/2007,27.72,27.85,26.6,27.32,27.32,0,0,0,0
3/9/2007,27.42,27.48,27.03,27.29,27.29,0.9382,0,0.874,0.126
3/12/2007,27.18,27.48,27.13,27.44,27.44,0.7783,0,0.915,0.085
3/13/2007,27.25,27.4,26.71,26.72,26.72,0,0,0,0
3/14/2007,26.82,27.4,26.73,27.4,27.4,0.6486,0,0.947,0.053
3/15/2007,27.32,27.47,27.2,27.28,27.28,0.5623,0.058,0.863,0.079
3/16/2007,27.35,27.48,27.2,27.33,27.33,0,0,0,0
3/19/2007,27.34,27.83,27.2,27.83,27.83,-0.6486,0.106,0.859,0.034
3/20/2007,27.93,28.16,27.76,27.84,27.84,0.2263,0.068,0.864,0.067
3/21/2007,27.9,28.52,27.56,28.52,28.52,0,0,0,0
3/22/2007,28.52,28.55,28.01,28.27,28.27,-0.2183,0.021,0.979,0
3/23/2007,28.22,28.27,27.8,28.02,28.02,0,0,0,0
3/26/2007,27.94,28.22,27.7,28.22,28.22,0,0,0,0
3/27/2007,28.04,28.16,27.65,27.72,27.72,0.5719,0.019,0.914,0.068
3/28/2007,27.58,28,27.4,27.64,27.64,0,0,0,0
3/29/2007,27.84,27.85,27.49,27.75,27.75,0,0,1,0
3/30/2007,27.75,27.95,27.5,27.87,27.87,0,0,1,0
4/2/2007,27.89,27.93,27.56,27.74,27.74,0,0,0,0
4/3/2007,27.86,28.06,27.75,27.87,27.87,0,0,0,0
4/4/2007,28.01,28.78,27.9,28.5,28.5,0,0,0,0
4/5/2007,28.32,28.65,28.3,28.55,28.55,0.8694,0.035,0.857,0.108
4/9/2007,28.58,28.72,28.39,28.57,28.57,0.9152,0,0.863,0.137
4/10/2007,28.5,28.64,28.22,28.4,28.4,0,0,0,0
4/11/2007,28.3,28.57,27.99,28.11,28.11,0,0,0,0
4/12/2007,28.06,28.62,28.04,28.54,28.54,-0.7783,0.104,0.896,0
4/13/2007,28.43,28.7,28.1,28.61,28.61,0,0,0,0
4/16/2007,28.6,28.75,28.21,28.73,28.73,0.9245,0.045,0.811,0.144
4/17/2007,28.63,28.89,28.56,28.85,28.85,0,0,0,0
4/18/2007,28.61,28.67,28.36,28.6,28.6,0.6908,0,0.769,0.231
4/19/2007,28.34,28.89,28.26,28.69,28.69,-0.736,0.101,0.816,0.084
4/20/2007,28.98,29.1,28.7,29.02,29.02,0,0,0,0
4/23/2007,28.96,28.99,28.67,28.78,28.78,0.5574,0.043,0.896,0.062
4/24/2007,28.79,28.96,28.59,28.79,28.79,-0.34,0.095,0.873,0.033
4/25/2007,28.86,29,28.69,28.99,28.99,0,0,0,0
4/26/2007,29.09,29.35,28.91,29.1,29.1,0.9168,0.011,0.878,0.111
4/27/2007,30.17,30.74,30,30.12,30.12,0,0,0,0
4/30/2007,30.13,30.37,29.94,29.94,29.94,-0.5859,0.053,0.947,0
5/1/2007,29.94,30.42,29.9,30.4,30.4,0.204,0.095,0.782,0.122
5/2/2007,30.39,30.69,30.3,30.61,30.61,0,0,0,0
5/3/2007,30.6,31,30.53,30.97,30.97,0.9612,0.012,0.826,0.162
5/4/2007,30.68,30.7,30.29,30.56,30.56,0,0,0,0
5/7/2007,30.52,30.76,30.48,30.71,30.71,0.5106,0,0.883,0.117
5/8/2007,30.68,30.94,30.58,30.75,30.75,0.4927,0,0.887,0.113
5/9/2007,30.7,30.93,30.57,30.78,30.78,0,0,0,0
5/10/2007,30.68,30.93,30.53,30.58,30.58,0.91,0.025,0.84,0.135
5/11/2007,30.57,30.98,30.55,30.89,30.89,-0.5719,0.104,0.896,0
5/14/2007,30.84,30.99,30.81,30.97,30.97,0,0,0,0
5/15/2007,30.9,31.09,30.84,30.9,30.9,0,0,0,0
5/16/2007,31,31.09,30.81,31.07,31.07,0,0,0,0
5/17/2007,31.03,31.14,30.96,30.98,30.98,0.9485,0.032,0.835,0.134
5/18/2007,30.97,30.99,30.58,30.83,30.83,0.3612,0.02,0.939,0.041
5/21/2007,30.73,31.16,30.73,31.05,31.05,0,0,0,0
5/22/2007,30.9,30.93,30.66,30.69,30.69,0,0,0,0
5/23/2007,30.84,30.84,30.57,30.58,30.58,0,0,0,0
5/24/2007,30.54,30.8,29.96,30.17,30.17,0,0,0,0
5/25/2007,30.28,30.66,30.18,30.48,30.48,0.5423,0,0.936,0.064
5/29/2007,30.49,30.83,30.39,30.79,30.79,0,0,0,0
5/30/2007,30.55,31.13,30.51,31.11,31.11,0.9022,0,0.85,0.15
5/31/2007,31.12,31.16,30.61,30.69,30.69,0.3632,0.064,0.877,0.059
6/1/2007,30.79,30.9,30.55,30.59,30.59,0,0,0,0
6/4/2007,30.42,30.76,30.4,30.72,30.72,0.6597,0.03,0.863,0.107
6/5/2007,30.62,30.63,30.33,30.58,30.58,-0.0899,0.032,0.925,0.043
6/6/2007,30.37,30.53,30.25,30.29,30.29,0,0,0,0
6/7/2007,30.02,30.29,29.59,29.62,29.62,0.5423,0.113,0.719,0.169
6/8/2007,29.58,30.06,29.41,30.05,30.05,-0.128,0.064,0.936,0
6/11/2007,29.94,30.25,29.93,30.02,30.02,0,0,0,0
6/12/2007,29.96,30.24,29.77,29.85,29.85,-0.6774,0.066,0.908,0.026
6/13/2007,29.97,30.41,29.85,30.39,30.39,0,0,0,0
6/14/2007,30.35,30.71,30.3,30.52,30.52,0.2729,0.111,0.767,0.122
6/15/2007,30.86,30.88,30.43,30.49,30.49,0,0,0,0
6/18/2007,30.69,30.72,30.42,30.51,30.51,0,0,0,0
6/19/2007,30.48,30.66,30.38,30.46,30.46,0.34,0.114,0.765,0.121
6/20/2007,30.44,30.51,29.96,30.01,30.01,0,0,0,0
6/21/2007,29.98,30.3,29.91,30.22,30.22,0.8608,0.017,0.845,0.138
6/22/2007,30,30.1,29.45,29.49,29.49,0.4767,0,0.963,0.037
6/25/2007,29.47,29.77,29.38,29.49,29.49,0,0,0,0
6/26/2007,29.55,29.8,29.5,29.52,29.52,0.7469,0,0.936,0.064
6/27/2007,29.36,29.95,29.36,29.87,29.87,0.2023,0.034,0.911,0.054
6/28/2007,29.86,29.97,29.68,29.83,29.83,0,0,0,0
6/29/2007,29.87,29.93,29.04,29.47,29.47,-0.4194,0.1,0.9,0
7/2/2007,29.67,29.8,29.49,29.74,29.74,0,0,0,0
7/3/2007,29.79,30.22,29.78,30.02,30.02,-0.379,0.082,0.873,0.044
7/5/2007,30.05,30.22,29.83,29.99,29.99,0.8257,0,0.872,0.128
7/6/2007,29.91,30.04,29.66,29.97,29.97,0,0,0,0
7/9/2007,29.86,29.95,29.81,29.87,29.87,-0.9482,0.144,0.818,0.038
7/10/2007,29.7,29.99,29.18,29.33,29.33,0.8941,0.073,0.745,0.182
7/11/2007,29.24,29.65,29.21,29.49,29.49,0,0,0,0
7/12/2007,29.56,30.11,29.44,30.07,30.07,0.4215,0.03,0.901,0.069
7/13/2007,29.94,30.02,29.66,29.82,29.82,0,0,0,0
7/16/2007,29.76,30.24,29.72,30.03,30.03,0,0,1,0
7/17/2007,30.02,30.88,30.01,30.78,30.78,-0.5574,0.057,0.92,0.023
7/18/2007,30.51,30.97,30.5,30.92,30.92,0,0,0,0
7/19/2007,31.05,31.84,30.93,31.51,31.51,0,0,1,0
7/20/2007,31.15,31.2,30.79,31.16,31.16,0.7906,0.023,0.885,0.092
7/23/2007,31.36,31.52,31.12,31.19,31.19,0,0,0,0
